Order,Sales_in_thousands,Vehicle_type,Order Date,dealership,color,Power_perf_factor,Fuel_efficiency,Fuel_capacity,Engine_size,Horsepower,Wheelbase,Width,Length,Price_in_lakhs
4100245,16.32,passenger,2021-10-12,"260, Austin, TX, 73301",#7fdd29,44.91999,25.8,24,4.4,215,81.97,77.87,232.63,13.16L
4100246,14.47,passenger,2021-07-16,"507, Dallas, TX, 75001",#2c4217,186.13345,24.8,23,5.84,234,95.66,89.32,248.2,5.40L
4100248,11.60,passenger,2021-09-19,"87, Austin, TX, 73301",#5ce9d5,186.75051,22.3,22,3.46,150,81.53,84.73,282.43,29.04L
4100250,16.69,passenger,2021-12-25,"806, Seattle, WA, 98101",#b9f91c,121.22696,22.1,22,4.11,165,82.88,85.67,260.48,5.97L
4100256,14.36,car,2021-08-01,"639, Austin, TX, 73301",#7e625c,94.43398,15.5,21,4.37,163,98.25,76.26,249.39,7.06L
4100257,6.23,passenger,2021-10-16,"238, New York City, NY, 10001",#9152cd,105.16425,18.6,24,2.15,273,108.62,80.93,263.11,9.69L
4100260,5.15,car,2021-07-07,"266, San Francisco, CA, 94016",#7b95bd,176.88658,20.2,16,1.46,165,85.97,68.62,281.12,4.97L
4100270,5.67,passenger,2021-08-24,"273, San Francisco, CA, 94016",#da6b94,102.06653,23.8,18,2.65,270,100.34,60.24,174.12,10.46L
4100272,4.04,passenger,2021-11-07,"100, New York City, NY, 10001",#dc36ef,171.13802,19.4,16,5.13,191,91.58,62.03,202.27,28.45L
4100278,11.95,passenger,2021-10-07,"710, Seattle, WA, 98101",#df8f24,57.85429,15.5,20,4.43,230,93.86,71.38,283.72,21.31L
4100281,18.68,car,2021-08-27,"21, New York City, NY, 10001",#910506,40.49917,28.5,26,5.06,247,96.31,60.31,248.94,29.36L
4100283,16.48,car,2021-11-11,"937, Boston, MA, 02215",#7f38d7,169.17578,29.4,16,2.77,268,90.53,72.63,161.29,25.10L
4100288,3.55,car,2021-10-18,"492, Seattle, WA, 98101",#51c06e,155.64716,22.2,16,5.06,203,80.02,76.04,201.75,11.39L
4100290,16.42,car,2021-10-28,"35, San Francisco, CA, 94016",#4607c7,52.12103,17.3,25,2.4,223,103.01,67.31,222.81,20.49L
4100291,16.33,car,2021-11-13,"32, San Francisco, CA, 94016",#6228b8,137.47973,25.7,22,4.22,191,97.71,75.21,207.56,26.46L
4100292,9.07,passenger,2021-11-24,"334, Atlanta, GA, 30301",#aaf282,133.40742,29.8,28,1.29,220,88.33,68.76,283.58,16.71L
4100295,19.64,passenger,2021-07-21,"544, Austin, TX, 73301",#fe6e02,113.84711,24.2,18,1.48,194,105.09,79.81,220.69,28.83L
4100300,12.83,passenger,2021-11-13,"330, New York City, NY, 10001",#c9eaed,138.88246,22.1,17,1.96,237,102.41,82.99,228.29,26.20L
4100304,12.58,passenger,2021-09-11,"624, New York City, NY, 10001",#3ac80f,86.46634,24.4,21,2.99,247,87.37,84.66,261.54,11.71L
4100305,10.37,car,2021-08-23,"254, Los Angeles, CA, 90001",#93c38f,97.1953,17.8,25,1.07,185,99.96,66.35,241.97,15.69L
4100306,9.02,car,2021-12-02,"432, Boston, MA, 02215",#68e897,46.46472,23.5,16,2.08,235,92.47,84.2,232.93,18.02L
4100309,13.45,passenger,2021-12-10,"601, San Francisco, CA, 94016",#1cebb2,75.87216,20.9,20,2.67,185,97.63,87.16,295.83,12.88L
4100316,11.39,car,2021-12-10,"701, Portland, OR, 97035",#b38445,46.70686,19.9,21,4.89,209,103.12,62.78,280.87,10.28L
4100317,18.91,car,2021-12-23,"318, San Francisco, CA, 94016",#c5cbe6,128.32136,20.5,25,3.19,255,98.6,66.42,220.67,19.39L
4100318,13.35,car,2021-12-09,"867, Los Angeles, CA, 90001",#eead0a,165.9888,19.4,23,2.44,249,87.51,67.37,237.99,19.99L
4100319,17.27,car,2021-11-14,"478, Seattle, WA, 98101",#7cc47e,176.77062,15.3,25,1.87,195,86.05,88.21,165.06,11.33L
4100322,18.84,passenger,2021-09-22,"222, Boston, MA, 02215",#82eee5,36.61608,25.2,20,5.05,188,101.49,81.84,208.0,29.02L
4100324,16.54,passenger,2021-11-28,"999, Atlanta, GA, 30301",#294559,130.2835,15.3,26,5.56,193,92.21,62.85,162.41,8.76L
4100325,17.93,car,2021-08-28,"495, Dallas, TX, 75001",#4f1e1b,116.60152,24.8,15,1.4,213,91.89,85.53,218.95,21.81L
4100328,8.59,passenger,2021-10-12,"215, New York City, NY, 10001",#af8428,50.99552,26.4,26,5.71,233,86.2,62.57,275.61,19.04L
4100331,8.57,car,2021-07-18,"102, Seattle, WA, 98101",#f659ff,169.22512,25.4,20,1.58,168,81.38,61.29,296.43,20.15L
4100334,18.11,passenger,2021-07-11,"837, New York City, NY, 10001",#5b9fed,92.1735,23.5,25,5.63,215,106.28,85.31,238.08,21.39L
4100335,12.85,passenger,2021-11-13,"440, San Francisco, CA, 94016",#323812,183.62178,26.5,22,4.02,252,80.68,60.19,199.91,24.37L
4100337,10.63,passenger,2021-07-09,"908, Seattle, WA, 98101",#e5e09d,75.54717,28.9,17,3.42,277,95.96,67.87,163.05,15.84L
4100339,13.40,car,2021-08-18,"13, Portland, OR, 97035",#6bcbe4,34.58119,19.8,25,5.73,262,95.02,63.25,280.91,11.26L
4100340,5.28,passenger,2021-09-18,"271, Los Angeles, CA, 90001",#5d8d6b,189.839,26.3,24,1.87,186,97.33,70.87,276.38,14.47L
4100341,14.40,passenger,2021-07-18,"399, Dallas, TX, 75001",#221fb5,166.1622,17.7,24,1.13,231,86.58,83.17,186.25,13.62L
4100343,16.75,car,2021-10-12,"818, Los Angeles, CA, 90001",#c08697,142.7622,28.7,28,2.86,250,104.92,83.14,295.85,27.92L
4100344,13.22,car,2021-08-13,"298, Boston, MA, 02215",#436cab,101.6417,24.5,27,5.65,191,97.54,85.13,233.28,23.64L
4100345,9.39,car,2021-07-10,"586, Boston, MA, 02215",#c6e7ec,153.3812,24.5,26,3.14,215,100.33,89.6,184.29,5.00L
4100348,9.38,passenger,2021-08-03,"594, Seattle, WA, 98101",#a1be85,71.34063,17.3,18,5.77,244,93.6,79.48,165.59,27.45L
4100355,16.39,passenger,2021-12-26,"903, Austin, TX, 73301",#545aff,114.40788,17.9,20,5.88,227,109.08,64.27,186.32,28.69L
4100360,7.20,passenger,2021-10-15,"996, San Francisco, CA, 94016",#e4faf5,46.3286,21.9,21,4.29,192,82.83,79.13,237.44,26.71L
4100362,11.62,car,2021-09-02,"200, San Francisco, CA, 94016",#7b0e38,141.31043,27.0,15,3.53,271,87.36,85.02,173.86,19.42L
4100364,12.97,car,2021-08-16,"226, San Francisco, CA, 94016",#e22089,163.70911,19.3,27,2.85,232,87.08,77.64,218.28,6.81L
4100374,17.05,passenger,2021-10-24,"586, San Francisco, CA, 94016",#af91c4,112.59959,21.0,16,4.79,242,82.8,75.07,186.05,16.41L
4100376,15.68,car,2021-07-27,"319, Boston, MA, 02215",#e74f40,46.78086,17.5,27,4.94,161,90.7,88.13,180.91,11.71L
4100380,16.82,passenger,2021-10-08,"277, Dallas, TX, 75001",#0829c0,48.37614,29.9,16,2.83,213,85.14,81.02,170.68,6.92L
4100383,6.30,passenger,2021-10-15,"680, San Francisco, CA, 94016",#961c04,117.45985,22.3,28,2.53,215,103.73,70.82,228.43,23.27L
4100384,12.88,car,2021-12-19,"772, Atlanta, GA, 30301",#e223a7,73.27171,16.6,27,2.9,213,101.96,88.87,276.58,4.00L
4100389,17.25,passenger,2021-08-11,"702, Seattle, WA, 98101",#fa95cb,53.61172,22.1,15,2.74,190,99.38,88.49,284.83,3.02L
4100395,6.89,car,2021-12-08,"130, Boston, MA, 02215",#07a099,176.18907,15.5,23,2.79,230,86.72,88.15,276.35,26.48L
4100397,5.00,passenger,2021-07-20,"166, New York City, NY, 10001",#eb96e8,114.55199,17.2,18,4.84,217,95.5,64.32,190.21,26.72L
4100398,15.31,passenger,2021-10-26,"138, Portland, OR, 97035",#04ddef,183.08472,27.7,22,4.91,176,101.95,68.82,299.26,14.71L
4100401,4.34,passenger,2021-12-16,"567, Dallas, TX, 75001",#2caa4e,92.73391,16.1,28,4.74,185,105.84,74.4,170.82,18.63L
4100410,16.61,passenger,2021-07-22,"542, New York City, NY, 10001",#c7fe80,136.99843,16.0,22,2.65,230,92.35,83.67,170.0,17.82L
4100412,14.40,car,2021-11-14,"667, New York City, NY, 10001",#ddd009,30.65247,21.0,20,1.42,184,97.18,89.01,168.28,15.17L
4100414,13.60,passenger,2021-11-02,"643, San Francisco, CA, 94016",#f3f16f,40.34594,25.7,15,4.46,204,103.67,68.59,163.9,25.56L
4100417,3.96,car,2021-07-15,"659, Los Angeles, CA, 90001",#be50b6,148.60984,16.0,18,5.95,168,107.15,87.23,179.93,18.29L
4100420,6.21,passenger,2021-11-19,"317, Atlanta, GA, 30301",#de2d8c,98.24224,19.3,21,3.95,258,93.15,88.66,194.85,5.55L
4100424,14.69,passenger,2021-12-28,"130, Boston, MA, 02215",#6ce686,92.2806,15.6,17,1.19,162,91.66,81.8,294.56,3.89L
4100432,8.02,car,2021-10-01,"860, Austin, TX, 73301",#68fd07,113.63301,27.6,15,5.47,201,98.16,77.11,164.42,8.58L
4100435,13.20,passenger,2021-10-11,"508, San Francisco, CA, 94016",#7ded2f,95.00621,22.5,18,5.99,199,97.89,66.23,203.3,4.85L
4100440,7.63,car,2021-11-04,"403, Los Angeles, CA, 90001",#6fd3b5,81.91573,26.9,18,3.95,209,92.81,87.38,207.87,15.32L
4100442,4.16,car,2021-07-19,"670, New York City, NY, 10001",#77f334,171.44059,19.4,25,3.76,269,83.77,69.43,251.36,6.86L
4100449,12.80,car,2021-07-01,"446, San Francisco, CA, 94016",#e8e3ea,122.33137,19.2,27,2.61,271,102.96,89.71,176.86,10.18L
4100453,10.70,passenger,2021-12-24,"838, New York City, NY, 10001",#6b7047,48.67597,22.5,17,4.6,179,93.87,76.53,275.07,8.65L
4100455,9.55,passenger,2021-07-07,"416, Austin, TX, 73301",#9fb625,155.81079,19.8,20,5.65,262,94.21,68.82,254.82,17.52L
4100456,3.75,car,2021-10-17,"710, Atlanta, GA, 30301",#e0e3a8,149.28444,23.1,25,1.44,164,109.87,65.45,279.49,23.51L
4100465,5.09,passenger,2021-10-28,"219, Boston, MA, 02215",#e033bc,72.18676,19.1,19,1.69,249,91.41,83.34,201.76,17.36L
4100466,17.73,car,2021-09-26,"474, Atlanta, GA, 30301",#1b4284,81.53531,28.1,27,5.45,268,84.23,72.65,168.49,16.87L
4100468,11.53,passenger,2021-07-26,"730, Los Angeles, CA, 90001",#27cd56,110.04246,17.0,24,3.06,170,90.38,64.48,299.89,21.78L
4100473,10.64,car,2021-07-19,"14, Los Angeles, CA, 90001",#a26114,164.34854,19.9,16,1.35,159,107.04,68.33,165.38,22.72L
4100482,14.98,passenger,2021-08-03,"579, Boston, MA, 02215",#934b63,82.84105,28.3,24,1.71,201,105.69,63.28,199.7,11.83L
4100484,4.54,passenger,2021-10-06,"898, Atlanta, GA, 30301",#6d07af,134.38294,28.7,23,5.1,165,97.83,87.94,258.94,14.64L
4100488,17.62,passenger,2021-11-19,"206, Boston, MA, 02215",#ae5cae,31.0753,27.3,22,4.57,264,108.9,65.56,250.21,11.65L
4100495,5.05,car,2021-12-17,"649, Boston, MA, 02215",#d5a884,58.62501,16.5,22,4.02,162,109.95,85.55,214.43,24.20L
4100497,5.71,car,2021-09-21,"80, Atlanta, GA, 30301",#0d9238,75.28017,19.3,22,1.8,265,96.13,62.16,160.64,26.41L
4100499,11.42,car,2021-08-14,"229, San Francisco, CA, 94016",#c24492,38.94058,16.6,23,5.95,163,95.61,72.89,203.66,13.11L
4100500,9.49,car,2021-09-23,"893, San Francisco, CA, 94016",#7fb2e8,174.43712,24.9,16,1.98,169,93.39,66.64,199.25,10.40L
4100501,12.66,car,2021-11-25,"246, San Francisco, CA, 94016",#f1fc9d,178.92121,25.6,19,3.77,178,88.52,67.25,182.76,22.98L
4100506,17.40,car,2021-09-15,"144, Boston, MA, 02215",#8a70de,166.74333,17.0,17,1.51,241,108.79,88.29,237.89,13.66L
4100509,5.15,car,2021-08-23,"980, Dallas, TX, 75001",#cb2f63,71.62458,24.3,19,4.55,206,87.2,89.91,237.43,28.00L
4100510,11.32,passenger,2021-08-01,"86, Atlanta, GA, 30301",#ef501d,95.16817,26.5,22,1.23,207,97.29,85.97,245.68,12.20L
4100515,17.97,passenger,2021-12-22,"593, Austin, TX, 73301",#34bddc,121.96006,24.6,16,2.88,271,94.94,80.06,215.12,9.02L
4100518,3.33,passenger,2021-10-26,"636, Seattle, WA, 98101",#14318a,32.0819,21.2,18,4.85,234,82.01,67.77,180.28,26.59L
4100527,17.87,passenger,2021-10-18,"42, Atlanta, GA, 30301",#35cc33,152.48916,29.0,27,1.07,231,102.81,82.19,283.29,22.85L
4100531,16.95,car,2021-07-17,"439, Los Angeles, CA, 90001",#57e6bc,137.1652,21.2,21,1.41,185,90.11,86.49,249.49,18.34L
4100532,11.55,passenger,2021-08-08,"196, New York City, NY, 10001",#319f3c,169.96934,26.9,25,1.69,258,108.95,77.5,263.09,23.89L
4100533,3.04,passenger,2021-10-04,"167, Atlanta, GA, 30301",#cbbbba,92.12388,16.5,16,1.99,245,92.97,67.18,282.33,19.49L
4100538,5.58,passenger,2021-08-20,"61, San Francisco, CA, 94016",#8d41a4,102.23948,15.1,18,1.36,182,109.05,65.83,290.29,20.23L
4100540,5.93,car,2021-08-11,"131, San Francisco, CA, 94016",#c68b03,67.15169,28.9,17,1.7,223,90.36,68.11,221.09,6.67L
4100543,7.46,passenger,2021-09-23,"120, New York City, NY, 10001",#110e70,109.1071,25.7,25,1.82,274,95.43,63.42,173.94,27.55L
4100544,19.58,passenger,2021-09-13,"211, Los Angeles, CA, 90001",#75c3f9,154.05718,18.6,27,2.34,176,108.22,62.92,231.16,28.37L
4100551,19.71,car,2021-12-04,"229, Los Angeles, CA, 90001",#a8740b,122.75436,29.0,18,5.3,209,84.9,67.19,288.16,25.39L
4100552,10.62,car,2021-10-04,"969, Atlanta, GA, 30301",#ca8459,104.45426,27.8,25,2.21,156,99.86,71.6,232.17,27.04L
4100553,11.63,car,2021-07-21,"601, San Francisco, CA, 94016",#8439ac,57.59706,15.9,26,1.18,250,108.93,65.68,181.29,24.50L
4100554,11.30,passenger,2021-11-26,"960, Los Angeles, CA, 90001",#342799,76.06998,28.9,19,1.42,225,107.64,70.26,231.32,19.43L
4100558,11.93,car,2021-11-04,"759, Boston, MA, 02215",#896110,128.9103,19.6,25,5.67,223,98.05,78.26,212.56,16.23L
4100560,18.35,passenger,2021-09-16,"127, New York City, NY, 10001",#d36532,188.10301,29.8,22,4.01,237,85.58,79.24,247.59,25.11L
4100572,10.45,car,2021-07-20,"416, Boston, MA, 02215",#253a32,38.40358,18.9,17,5.83,222,93.78,70.08,226.08,27.36L
4100576,19.69,car,2021-10-14,"549, Los Angeles, CA, 90001",#d480fb,137.27296,27.5,24,5.4,257,82.83,67.54,190.73,9.94L
4100581,19.44,passenger,2021-07-24,"553, Seattle, WA, 98101",#bc8eae,179.84393,19.7,17,3.52,265,96.46,78.98,273.3,5.81L
4100582,16.97,passenger,2021-07-20,"476, New York City, NY, 10001",#90dee3,174.27176,15.3,21,3.81,237,92.21,71.4,228.54,14.44L
4100583,5.74,car,2021-09-12,"768, San Francisco, CA, 94016",#40ccfd,81.41137,18.2,22,4.1,249,90.91,75.11,227.33,6.62L
4100587,11.11,passenger,2021-11-11,"565, Austin, TX, 73301",#357750,36.51901,24.2,20,2.88,170,95.2,75.79,193.47,10.92L
4100591,5.58,car,2021-11-02,"201, Atlanta, GA, 30301",#3345a6,64.95952,25.9,22,2.89,214,102.39,88.75,254.23,5.63L
4100592,7.20,car,2021-09-05,"113, Dallas, TX, 75001",#751481,43.01364,28.8,27,3.98,255,96.57,69.34,188.77,28.71L
4100593,18.73,passenger,2021-10-24,"836, Portland, OR, 97035",#0167a0,130.71601,26.1,25,3.03,273,104.43,70.17,276.66,6.61L
4100594,7.96,car,2021-09-22,"699, Boston, MA, 02215",#d600b7,79.39699,27.2,18,1.96,180,103.61,60.47,230.89,19.53L
4100597,13.70,car,2021-07-09,"737, Los Angeles, CA, 90001",#b956c8,67.26622,16.7,15,1.47,190,97.89,88.13,273.1,15.33L
4100601,4.51,car,2021-12-22,"472, Dallas, TX, 75001",#d559e0,130.3014,20.4,25,5.64,257,94.66,75.97,185.69,10.10L
4100602,11.42,car,2021-08-01,"223, Boston, MA, 02215",#db2012,98.0414,21.2,27,5.64,188,103.68,69.34,265.6,22.60L
4100606,14.54,passenger,2021-10-23,"411, Portland, OR, 97035",#9622bf,120.53512,17.7,25,2.84,250,101.98,68.5,261.0,8.34L
4100609,12.83,passenger,2021-09-24,"249, Boston, MA, 02215",#832153,174.29535,20.1,15,4.76,206,84.78,78.8,280.32,11.03L
4100612,17.57,car,2021-09-17,"883, San Francisco, CA, 94016",#a8ae35,142.24638,25.1,15,2.64,168,83.1,84.54,257.71,22.27L
4100616,3.26,car,2021-10-25,"744, Seattle, WA, 98101",#b427fe,121.25797,28.9,24,4.63,166,101.28,70.41,278.27,3.77L
4100617,15.96,passenger,2021-08-21,"826, Los Angeles, CA, 90001",#6aea37,85.96087,16.0,25,4.62,237,82.36,71.81,197.48,28.00L
4100622,4.14,car,2021-12-25,"125, San Francisco, CA, 94016",#00e0f8,30.34976,24.2,26,4.48,231,99.35,74.51,262.82,10.53L
4100623,17.43,passenger,2021-08-23,"808, San Francisco, CA, 94016",#69f8ee,64.94278,22.1,21,4.83,238,104.62,63.62,176.63,29.99L
4100625,11.29,car,2021-09-23,"883, Boston, MA, 02215",#465309,113.89004,19.1,19,2.6,219,95.22,81.59,180.89,14.84L
4100630,19.52,car,2021-11-21,"52, Boston, MA, 02215",#317124,178.12161,28.4,26,5.75,150,100.4,86.28,194.96,14.24L
